log_price,room_type,accommodates,neighbourhood,zipcode,bedrooms,bathrooms,review_scores_rating,has_pool
5.010635294096256,0,3,20,154,1.0,1.0,100.0,False
5.1298987149230735,0,7,88,33,3.0,1.0,93.0,False
4.976733742420574,0,5,87,43,1.0,1.0,92.0,False
4.605170185988092,1,2,1,17,1.0,1.0,93.0,False
4.882801922586372,0,2,109,4,1.0,1.0,86.0,False
4.59511985013459,0,8,64,198,3.0,1.0,72.0,False
3.688879454113936,1,2,53,173,1.0,1.5,89.0,False
5.003946305945459,0,6,97,256,3.0,1.0,100.0,False
5.003946305945459,0,4,69,245,2.0,1.0,100.0,False
4.653960350157523,1,3,131,28,1.0,1.0,88.0,False
4.31748811353631,1,2,103,195,1.0,1.0,100.0,False
4.382026634673881,1,2,22,172,1.0,1.0,96.0,False
3.912023005428147,1,1,195,171,1.0,1.0,84.0,False
4.007333185232471,1,2,11,206,1.0,1.0,88.0,False
4.7791234931115305,1,2,195,220,1.0,1.0,100.0,False
4.74493212836325,0,5,87,58,0.0,1.0,100.0,False
4.68213122712422,0,2,83,20,1.0,1.0,94.0,False
4.948759890378168,0,2,28,21,1.0,1.0,80.0,False
3.688879454113936,1,2,187,51,3.0,1.0,100.0,False
3.80666248977032,1,2,64,197,1.0,1.0,87.0,False
4.700480365792417,1,2,140,181,2.0,1.0,100.0,False
5.857933154483459,0,3,190,26,1.0,1.0,100.0,False
4.574710978503383,0,6,23,213,1.0,1.0,96.0,False
4.0943445622221,1,2,4,145,1.0,1.0,80.0,False
3.80666248977032,1,1,11,188,1.0,1.0,95.0,False
4.248495242049359,0,1,140,291,0.0,1.0,100.0,False
4.804021044733257,0,2,125,39,0.0,1.0,100.0,False
4.927253685157205,1,2,178,24,1.0,1.0,89.0,False
4.174387269895637,0,2,187,63,0.0,1.0,80.0,False
3.688879454113936,1,2,87,62,1.0,1.0,94.0,False
4.007333185232471,1,2,87,62,1.0,1.0,96.0,True
4.0943445622221,1,2,11,206,1.0,1.0,85.0,False
4.174387269895637,1,2,169,184,1.0,1.0,94.0,False
4.90527477843843,0,2,54,47,1.0,1.0,88.0,False
4.653960350157523,0,2,182,39,1.0,1.0,89.0,False
4.48863636973214,1,1,82,190,1.0,1.0,93.0,False
4.31748811353631,1,4,23,188,1.0,1.0,89.0,False
4.0943445622221,0,6,146,215,2.0,1.0,100.0,False
4.382026634673881,1,2,11,206,1.0,1.0,99.0,False
4.127134385045092,0,2,23,161,0.0,1.0,96.0,False
4.465908118654584,1,2,187,51,1.0,1.0,94.0,False
3.4657359027997265,2,4,80,192,1.0,1.5,100.0,False
3.871201010907892,1,3,67,222,1.0,1.0,100.0,False
3.49650756146648,1,1,169,186,1.0,1.0,80.0,False
4.700480365792417,0,3,56,9,2.0,1.0,70.0,False
4.934473933130692,0,3,121,33,1.0,1.0,99.0,False
4.605170185988092,1,2,182,38,1.0,1.0,86.0,False
6.745236349484363,0,2,160,22,1.0,2.0,100.0,False
3.555348061489413,1,2,11,161,1.0,1.0,98.0,False
6.527957917622548,0,4,182,37,3.0,2.0,100.0,False
5.010635294096256,0,4,11,188,2.0,1.0,94.0,False
5.541263545158426,0,2,56,9,1.0,1.0,100.0,False
4.605170185988092,1,1,195,171,1.0,1.0,95.0,False
2.9444389791664403,2,1,161,136,1.0,1.0,100.0,False
4.394449154672439,1,1,182,37,1.0,1.0,70.0,False
5.575949103146316,0,5,195,218,2.0,1.0,97.0,False
4.897839799950911,1,2,88,33,1.0,1.0,91.0,False
4.31748811353631,1,2,46,216,1.0,1.0,95.0,False
4.356708826689592,0,2,15,181,0.0,1.0,94.0,False
5.010635294096256,0,5,84,205,3.0,1.0,95.0,False
4.941642422609304,0,3,23,213,1.0,1.0,100.0,False
5.5174528964647065,0,6,76,18,2.0,1.0,93.0,False
4.700480365792417,0,3,168,248,1.0,1.0,97.0,False
4.605170185988092,0,3,187,63,1.0,1.0,100.0,False
4.442651256490317,0,2,11,188,1.0,1.0,93.0,False
4.8283137373023015,1,1,63,291,1.0,1.0,100.0,False
5.521460917862246,0,4,11,179,2.0,2.0,80.0,False
4.382026634673881,1,2,88,33,1.0,1.0,100.0,False
5.1647859739235145,0,2,181,73,0.0,1.0,97.0,False
4.859812404361672,0,4,23,163,1.0,1.0,87.0,False
4.59511985013459,0,2,187,63,1.0,1.0,100.0,False
4.4998096703302615,1,1,11,174,1.0,1.0,94.0,False
5.1647859739235145,0,3,109,4,1.0,1.0,94.0,False
4.59511985013459,1,3,197,177,1.0,1.0,87.0,False
4.867534450455582,0,6,158,201,3.0,1.5,90.0,False
4.787491742782046,0,2,195,171,1.0,1.0,93.0,False
4.31748811353631,1,2,195,220,1.0,1.0,89.0,False
4.382026634673881,1,2,34,215,1.0,1.0,100.0,False
5.010635294096256,0,2,46,180,1.0,1.0,100.0,False
4.127134385045092,1,2,11,188,1.0,1.5,100.0,False
4.248495242049359,1,2,109,4,1.0,1.0,91.0,False
4.4998096703302615,0,2,11,163,0.0,1.0,92.0,False
4.442651256490317,1,1,181,73,1.0,1.0,100.0,False
5.298317366548036,0,2,56,17,1.0,1.0,100.0,False
5.783825182329737,0,8,182,37,1.0,2.0,80.0,False
3.688879454113936,1,2,23,213,1.0,1.0,80.0,False
4.0943445622221,1,2,140,177,1.0,2.0,93.0,False
5.135798437050261,1,2,109,6,1.0,2.0,100.0,False
5.1647859739235145,0,2,195,171,0.0,1.0,100.0,False
5.68697535633982,0,4,1,17,2.0,2.0,99.0,False
4.007333185232471,1,1,23,213,1.0,1.0,100.0,False
3.7612001156935615,1,1,87,43,1.0,1.0,91.0,False
5.6167710976665735,0,4,28,21,1.0,1.0,96.0,False
4.07753744390572,1,2,23,188,1.0,1.0,76.0,False
4.48863636973214,1,2,54,55,1.0,1.0,95.0,False
4.7791234931115305,0,2,88,33,0.0,1.0,91.0,False
4.59511985013459,0,2,197,183,0.0,1.0,90.0,False
5.521460917862246,0,2,88,56,1.0,1.0,80.0,False
5.220355825078324,0,2,182,39,0.0,1.0,96.0,True
7.003065458786463,0,4,122,36,1.0,1.0,100.0,False
4.174387269895637,1,2,195,171,1.0,1.0,92.0,False
4.442651256490317,1,2,152,250,1.0,1.5,80.0,False
4.90527477843843,0,3,195,220,1.0,1.0,97.0,False
5.010635294096256,0,4,23,188,2.0,1.0,90.0,False
4.8283137373023015,1,4,171,284,1.0,1.0,89.0,False
4.624972813284272,0,2,181,73,0.0,1.0,85.0,False
4.700480365792417,0,4,123,202,1.0,1.0,90.0,False
4.59511985013459,1,2,160,22,1.0,1.0,100.0,False
4.442651256490317,1,2,181,73,1.0,1.0,94.0,False
5.1929568508902095,0,4,1,17,2.0,1.0,80.0,False
5.66988092298052,0,3,56,9,1.0,1.0,99.0,False
4.442651256490317,1,1,182,39,1.0,1.0,100.0,False
4.060443010546419,1,1,23,213,1.0,1.0,100.0,False
4.442651256490317,0,2,23,161,0.0,1.0,100.0,False
5.135798437050261,0,2,140,177,1.0,1.0,96.0,False
4.700480365792417,1,2,54,47,1.0,1.5,94.0,False
3.951243718581428,1,2,11,179,1.0,1.0,92.0,False
4.74493212836325,0,2,182,37,0.0,1.0,93.0,False
4.634728988229637,0,4,182,39,0.0,1.0,100.0,False
5.6167710976665735,0,6,122,36,2.0,1.0,60.0,False
5.220355825078324,0,3,28,21,0.0,1.0,100.0,False
5.293304824724492,1,2,160,24,1.0,1.0,94.0,False
4.709530201312334,1,2,11,161,1.0,1.0,93.0,False
4.653960350157523,0,2,88,56,0.0,1.0,100.0,False
5.1647859739235145,0,4,182,38,1.0,1.0,94.0,False
3.688879454113936,1,1,64,197,1.0,1.0,80.0,False
4.912654885736052,0,6,54,55,1.0,1.0,99.0,False
4.248495242049359,1,2,23,161,1.0,1.0,95.0,False
4.007333185232471,1,2,23,188,1.0,1.5,100.0,False
5.393627546352364,0,2,195,171,1.0,1.0,100.0,False
4.007333185232471,1,2,67,222,1.0,1.0,90.0,False
3.912023005428147,1,3,152,253,1.0,2.0,92.0,False
4.605170185988092,1,3,195,220,1.0,1.0,88.0,False
3.3672958299864737,2,4,11,179,1.0,1.0,100.0,False
5.0369526024136295,0,4,70,159,2.0,1.0,92.0,False
6.396929655216146,0,8,65,18,3.0,2.0,86.0,False
5.703782474656202,0,2,56,9,1.0,1.0,100.0,False
4.700480365792417,1,2,109,4,1.0,1.0,83.0,False
4.3694478524670215,1,2,195,214,1.0,1.0,95.0,False
5.010635294096256,0,4,46,196,1.0,1.0,88.0,False
3.49650756146648,1,1,46,175,1.0,1.0,93.0,False
4.007333185232471,1,1,23,161,1.0,1.0,93.0,False
3.80666248977032,1,1,195,162,1.0,1.0,100.0,False
4.382026634673881,1,2,11,179,1.0,1.0,96.0,False
5.293304824724492,0,2,83,22,1.0,1.0,90.0,False
4.31748811353631,1,2,4,150,1.0,1.0,100.0,False
4.976733742420574,0,2,195,162,1.0,1.0,97.0,False
4.867534450455582,1,2,131,28,1.0,1.0,100.0,True
4.248495242049359,1,2,11,161,1.0,1.0,93.0,False
5.010635294096256,1,2,6,82,1.0,1.0,80.0,False
5.3230099791384085,0,4,190,26,2.0,1.0,90.0,False
4.74493212836325,1,2,109,4,1.0,1.0,95.0,False
5.187385805840755,0,2,28,3,1.0,1.0,100.0,False
4.90527477843843,0,2,87,43,0.0,1.0,93.0,False
5.988961416889862,0,4,88,33,2.0,1.0,93.0,False
4.867534450455582,0,6,65,18,1.0,1.0,82.0,False
4.394449154672439,1,2,87,43,1.0,1.0,91.0,False
4.07753744390572,1,1,95,53,1.0,1.0,90.0,False
5.1647859739235145,0,4,87,48,1.0,1.0,99.0,False
5.068904202220232,0,4,11,179,2.0,2.0,98.0,False
4.189654742026425,1,2,54,47,1.0,1.0,100.0,False
4.691347882229144,1,2,56,9,1.0,1.0,90.0,False
5.298317366548036,0,2,102,28,1.0,1.0,96.0,False
5.135798437050261,0,2,28,21,0.0,1.0,90.0,False
4.74493212836325,0,3,57,138,1.0,1.0,94.0,False
4.0943445622221,1,1,195,214,1.0,2.0,96.0,False
5.1929568508902095,0,2,28,21,1.0,1.5,92.0,False
5.3471075307174685,0,5,107,145,2.0,1.0,89.0,False
4.700480365792417,0,2,46,196,1.0,1.0,90.0,False
3.8918202981106265,1,2,23,291,1.0,1.0,96.0,False
3.80666248977032,1,2,86,50,1.0,1.0,100.0,False
4.859812404361672,0,4,25,204,1.0,1.0,89.0,False
4.7791234931115305,1,2,131,28,1.0,1.0,100.0,False
5.5174528964647065,0,3,83,26,1.0,1.0,93.0,False
5.272999558563747,0,8,64,197,2.0,1.0,82.0,False
5.703782474656202,0,6,102,28,1.0,2.0,99.0,False
3.555348061489413,2,4,23,213,1.0,2.0,75.0,False
4.31748811353631,0,2,11,188,1.0,1.0,100.0,False
5.796057750765373,0,3,122,30,0.0,1.0,80.0,False
4.07753744390572,1,3,9,227,1.0,1.0,80.0,False
4.48863636973214,1,2,195,162,1.0,2.0,90.0,False
3.871201010907892,1,3,23,213,1.0,1.0,96.0,False
5.521460917862246,0,5,4,147,3.0,2.0,100.0,False
5.003946305945459,0,2,56,17,0.0,1.0,97.0,False
4.941642422609304,0,4,28,21,1.0,1.0,100.0,False
5.010635294096256,0,2,82,190,1.0,1.0,93.0,False
3.4657359027997265,1,1,11,206,1.0,1.0,100.0,False
5.5606816310155285,0,3,195,220,1.0,1.0,100.0,False
5.298317366548036,0,4,56,9,1.0,1.0,92.0,False
4.74493212836325,1,3,181,73,1.0,1.0,95.0,False
5.298317366548036,0,3,109,4,1.0,1.0,91.0,False
3.610917912644224,1,1,169,186,1.0,1.0,82.0,False
3.80666248977032,1,1,23,161,1.0,1.5,90.0,False
4.382026634673881,1,2,182,39,1.0,1.0,92.0,False
4.867534450455582,0,5,129,110,3.0,1.0,97.0,False
5.3706380281276624,0,2,182,37,1.0,1.0,87.0,False
4.007333185232471,1,2,23,213,1.0,1.0,96.0,False
7.003065458786463,0,8,83,4,3.0,1.0,99.0,False
5.105945473900579,0,2,109,4,0.0,1.0,93.0,False
5.075173815233828,1,2,109,4,1.0,2.0,100.0,False
4.07753744390572,1,1,82,190,1.0,1.0,100.0,False
3.80666248977032,1,2,168,248,1.0,1.0,95.0,False
5.1647859739235145,0,6,103,195,2.0,1.0,100.0,False
5.298317366548036,0,2,15,181,1.0,1.0,100.0,False
3.912023005428147,0,2,97,273,1.0,1.0,100.0,False
3.688879454113936,1,2,182,39,1.0,1.0,100.0,False
4.700480365792417,1,2,195,218,1.0,2.0,100.0,False
4.700480365792417,1,1,187,52,1.0,1.0,100.0,False
4.31748811353631,1,2,154,64,1.0,1.0,96.0,False
5.634789603169249,0,8,195,220,3.0,1.0,93.0,False
4.934473933130692,0,4,96,240,2.0,1.0,98.0,False
4.174387269895637,1,2,64,197,1.0,1.0,93.0,False
4.6443908991413725,1,2,75,177,1.0,1.0,80.0,False
4.553876891600541,1,2,25,204,1.0,1.0,96.0,False
5.010635294096256,0,3,181,35,0.0,1.0,98.0,False
5.010635294096256,1,2,92,24,1.0,1.0,100.0,False
4.700480365792417,0,4,64,197,2.0,1.0,55.0,False
4.043051267834549,1,3,169,186,1.0,2.0,94.0,False
5.3706380281276624,0,4,88,33,2.0,1.0,73.0,False
4.7791234931115305,0,2,195,171,1.0,1.0,97.0,False
5.1647859739235145,0,2,56,17,1.0,1.0,91.0,False
5.075173815233828,0,3,190,26,1.0,1.0,80.0,False
5.991464547107983,0,12,87,43,4.0,3.5,85.0,False
4.382026634673881,1,1,187,52,1.0,1.0,100.0,False
4.3694478524670215,1,2,195,170,1.0,1.0,89.0,False
3.912023005428147,1,1,11,188,1.0,2.0,94.0,False
5.298317366548036,0,4,146,215,2.0,1.0,87.0,False
4.859812404361672,0,4,82,190,1.0,1.0,89.0,False
5.501258210544727,0,4,190,26,2.0,1.0,89.0,False
4.8283137373023015,0,4,181,45,1.0,1.0,100.0,False
3.912023005428147,1,2,67,221,1.0,1.0,94.0,False
4.553876891600541,0,5,11,206,3.0,1.0,92.0,False
4.867534450455582,0,4,4,147,1.0,1.0,94.0,False
4.59511985013459,0,2,13,158,1.0,1.0,95.0,False
4.997212273764115,0,2,56,9,1.0,1.0,94.0,False
4.248495242049359,1,2,182,39,1.0,1.0,100.0,False
5.293304824724492,0,6,181,35,2.0,1.0,100.0,False
4.174387269895637,1,2,46,180,1.0,1.0,95.0,False
3.555348061489413,1,1,86,50,1.0,1.5,95.0,False
5.703782474656202,0,2,195,171,2.0,2.0,90.0,False
6.198478716492307,0,5,83,20,2.0,1.0,95.0,False
4.867534450455582,0,5,96,241,2.0,1.5,96.0,False
4.4998096703302615,1,2,164,60,1.0,2.0,100.0,False
4.927253685157205,0,3,28,21,1.0,1.0,98.0,False
4.787491742782046,0,6,55,164,3.0,1.0,97.0,False
4.605170185988092,1,2,182,38,1.0,1.5,94.0,False
5.501258210544727,1,4,179,9,1.0,1.0,98.0,False
4.043051267834549,1,2,195,162,1.0,1.0,80.0,False
4.394449154672439,1,1,181,69,1.0,1.0,85.0,False
4.4998096703302615,1,2,23,163,1.0,1.5,100.0,False
4.8283137373023015,0,3,54,47,1.0,1.0,90.0,False
5.594711379601837,0,8,27,102,4.0,1.0,100.0,False
4.605170185988092,1,3,186,126,1.0,1.0,80.0,False
4.007333185232471,0,2,181,45,1.0,1.0,90.0,False
4.787491742782046,0,2,46,180,1.0,1.0,97.0,False
4.248495242049359,1,2,187,63,1.0,1.0,100.0,False
5.010635294096256,0,2,195,171,0.0,1.0,80.0,False
4.553876891600541,1,2,181,35,1.0,1.0,100.0,False
5.298317366548036,0,4,87,62,1.0,1.0,88.0,False
4.553876891600541,1,2,106,24,1.0,1.0,97.0,False
4.867534450455582,0,4,87,43,1.0,1.0,97.0,False
5.814130531825067,0,10,139,263,5.0,2.0,98.0,False
4.174387269895637,1,2,87,43,1.0,1.0,99.0,False
3.80666248977032,1,2,23,213,1.0,1.0,95.0,False
5.703782474656202,0,8,63,10,4.0,1.0,94.0,False
5.1647859739235145,0,2,29,6,1.0,1.0,100.0,False
5.003946305945459,0,4,34,215,1.0,1.0,100.0,False
4.74493212836325,0,3,11,179,1.0,1.0,99.0,False
4.31748811353631,1,2,195,162,1.0,1.0,97.0,False
4.553876891600541,0,2,195,171,1.0,1.0,91.0,False
5.075173815233828,0,4,76,7,2.0,1.0,100.0,False
4.0943445622221,1,2,11,179,1.0,1.0,93.0,False
3.80666248977032,1,1,23,161,1.0,1.0,97.0,False
6.163314804034643,0,2,135,7,1.0,1.0,98.0,False
5.1929568508902095,1,1,121,33,1.0,1.0,100.0,False
5.521460917862246,0,7,187,51,3.0,1.0,90.0,False
5.857933154483459,0,7,4,147,3.0,1.0,100.0,False
